timestamp,Temperature,Humidity,PM2.5,CO2,TVOC,CO,prediction
2026-02-05 22:38:49,33.6,66.0,0.0,376.0,33.0,0.93,Poor
2026-02-05 22:38:54,33.5,66.0,0.0,366.0,14.0,0.91,Poor
2026-02-05 22:39:00,33.6,66.2,0.0,363.0,14.0,0.91,Poor
2026-02-05 22:39:05,33.6,66.2,34.58,362.0,9.0,0.88,Poor
2026-02-05 22:39:11,33.6,66.2,0.0,358.0,7.0,0.91,Poor
2026-02-05 22:39:16,33.6,66.1,0.0,360.0,11.0,0.9,Poor
2026-02-05 22:39:25,33.6,65.9,315.02,360.0,11.0,0.91,Poor
2026-02-05 22:39:30,33.6,65.7,5327.47,355.0,15.0,0.92,Poor
2026-02-05 22:39:36,33.6,65.8,896.85,374.0,22.0,0.92,Poor
2026-02-05 22:39:41,33.6,65.7,0.0,357.0,16.0,0.93,Poor
2026-02-05 22:39:47,33.7,65.8,0.0,366.0,15.0,0.94,Poor
2026-02-05 22:39:55,33.6,65.6,0.0,356.0,7.0,0.93,Poor
2026-02-05 22:40:00,33.7,65.7,0.0,366.0,7.0,0.93,Poor
2026-02-05 22:40:06,33.7,65.8,0.0,355.0,5.0,0.94,Poor
2026-02-05 22:40:11,33.7,65.8,0.0,385.0,37.0,0.92,Poor
2026-02-05 22:40:16,33.7,65.8,0.0,383.0,34.0,0.93,Poor
2026-02-05 22:40:24,33.7,65.9,0.0,362.0,11.0,0.9,Poor
2026-02-05 22:40:30,33.7,66.0,0.0,357.0,7.0,0.91,Poor
2026-02-05 22:40:35,33.7,66.0,0.0,356.0,5.0,0.9,Poor
2026-02-05 22:40:41,33.7,66.1,0.0,356.0,5.0,0.9,Poor
2026-02-05 22:40:46,33.7,66.1,16.85,355.0,14.0,0.9,Poor
2026-02-05 22:40:52,33.7,65.9,0.0,358.0,9.0,0.92,Poor
2026-02-05 22:40:57,33.7,66.1,0.0,356.0,5.0,0.89,Poor
2026-02-05 22:41:03,33.7,66.0,0.0,357.0,7.0,0.9,Poor
2026-02-05 22:41:08,33.7,66.0,0.0,357.0,6.0,0.9,Poor
2026-02-05 22:41:14,33.7,66.1,0.0,359.0,9.0,0.91,Poor
2026-02-05 22:41:19,33.7,66.1,0.0,362.0,11.0,0.93,Poor
2026-02-05 22:41:24,33.7,66.1,0.73,383.0,34.0,0.93,Poor
2026-02-05 22:41:30,33.7,66.0,0.0,359.0,9.0,0.91,Poor
2026-02-05 22:41:35,33.7,65.9,0.0,361.0,11.0,0.9,Poor
2026-02-05 22:41:41,33.7,66.0,0.0,356.0,6.0,0.91,Poor
2026-02-05 22:41:47,33.7,65.8,0.0,360.0,12.0,0.91,Poor
2026-02-05 22:41:52,33.7,65.8,0.0,364.0,17.0,0.93,Poor
2026-02-05 22:41:58,33.7,65.6,52.31,362.0,13.0,0.92,Poor
2026-02-05 22:42:06,33.7,65.7,0.0,363.0,12.0,0.93,Poor
2026-02-05 22:42:11,33.7,65.9,0.0,362.0,16.0,0.92,Poor
2026-02-05 22:42:17,33.7,66.1,0.0,355.0,5.0,0.9,Poor
2026-02-05 22:42:22,33.7,66.2,0.0,364.0,14.0,0.89,Poor
2026-02-05 22:42:27,33.7,66.2,0.0,360.0,9.0,0.89,Poor
2026-02-05 22:42:33,33.8,66.1,0.0,361.0,12.0,0.9,Poor
2026-02-05 22:42:38,33.7,66.0,0.0,363.0,14.0,0.89,Poor
2026-02-05 22:42:44,33.8,65.9,0.0,362.0,12.0,0.9,Poor
2026-02-05 22:42:49,33.8,66.0,0.0,363.0,13.0,0.89,Poor
2026-02-05 22:42:55,33.8,65.9,0.0,363.0,14.0,0.89,Poor
2026-02-05 22:43:00,33.7,66.0,0.0,355.0,5.0,0.91,Poor
2026-02-05 22:43:05,33.7,66.0,0.0,374.0,27.0,0.92,Poor
2026-02-05 22:43:12,33.8,66.0,0.0,373.0,21.0,0.9,Poor
2026-02-05 22:43:18,33.7,66.1,0.0,362.0,13.0,0.89,Poor
2026-02-05 22:43:24,33.7,65.9,0.0,355.0,5.0,0.91,Poor
2026-02-05 22:43:29,33.7,66.0,0.0,364.0,12.0,0.9,Poor
2026-02-05 22:43:35,33.7,65.9,0.0,363.0,13.0,0.89,Poor
2026-02-05 22:43:41,33.8,66.1,0.0,360.0,10.0,0.89,Poor
2026-02-05 22:43:46,33.8,66.1,0.0,357.0,7.0,0.92,Poor
2026-02-05 22:43:51,33.7,66.0,0.0,359.0,9.0,0.93,Poor
2026-02-05 22:43:57,33.7,66.3,0.0,360.0,11.0,0.96,Poor
2026-02-05 22:44:03,33.7,66.3,0.0,361.0,12.0,0.94,Poor
2026-02-05 22:44:08,33.7,66.3,0.0,366.0,12.0,0.94,Poor
2026-02-05 22:44:14,33.6,66.3,0.0,361.0,14.0,0.94,Poor
2026-02-05 22:44:19,33.7,66.6,0.0,368.0,17.0,0.94,Poor
2026-02-05 22:44:25,33.7,66.3,0.0,364.0,14.0,0.95,Poor
2026-02-05 22:44:30,33.6,66.3,0.0,364.0,14.0,0.94,Poor
2026-02-05 22:44:36,33.7,66.4,0.0,364.0,14.0,0.94,Poor
2026-02-05 22:44:41,33.6,66.2,0.0,364.0,14.0,0.94,Poor
2026-02-05 22:44:47,33.6,66.2,0.0,364.0,5.0,0.95,Poor
2026-02-05 22:44:52,33.6,66.3,0.0,364.0,14.0,0.93,Poor
2026-02-05 22:44:58,33.7,66.1,0.0,362.0,11.0,0.94,Poor
2026-02-05 22:45:03,33.6,66.1,0.0,363.0,13.0,0.95,Poor
2026-02-05 22:45:09,33.7,66.0,0.0,362.0,12.0,0.94,Poor
2026-02-05 22:45:14,33.7,65.9,0.0,360.0,10.0,0.92,Poor
2026-02-05 22:45:20,33.6,65.9,0.0,360.0,9.0,0.94,Poor
2026-02-05 22:45:26,33.6,65.9,0.0,358.0,7.0,0.92,Poor
2026-02-05 22:45:31,33.6,65.9,0.0,358.0,8.0,0.93,Poor
2026-02-05 22:45:36,33.6,66.1,0.0,357.0,7.0,0.92,Poor
2026-02-05 22:45:42,33.7,65.8,0.0,356.0,6.0,0.92,Poor
2026-02-05 22:45:47,33.6,65.7,0.0,364.0,13.0,0.92,Poor
2026-02-05 22:45:53,33.6,65.8,0.0,355.0,5.0,0.91,Poor
2026-02-05 22:45:59,33.6,65.8,0.0,364.0,14.0,0.92,Poor
2026-02-05 22:46:04,33.6,65.7,0.0,364.0,14.0,0.92,Poor
2026-02-05 22:46:10,33.6,65.8,0.0,363.0,12.0,0.91,Poor
2026-02-05 22:46:15,33.6,65.7,0.0,362.0,12.0,0.89,Poor
2026-02-05 22:46:21,33.6,65.6,0.0,362.0,12.0,0.89,Poor
2026-02-05 22:46:26,33.6,65.6,0.0,363.0,12.0,0.9,Poor
2026-02-05 22:46:32,33.6,65.5,0.0,361.0,12.0,0.91,Poor
2026-02-05 22:46:37,33.7,65.5,0.0,359.0,8.0,0.89,Poor
2026-02-05 22:46:43,33.6,65.6,0.0,361.0,11.0,0.89,Poor
2026-02-05 22:46:49,33.7,65.4,0.0,361.0,11.0,0.89,Poor
2026-02-05 22:46:54,33.6,65.4,0.0,360.0,9.0,0.89,Poor
2026-02-05 22:47:00,33.7,65.5,0.0,360.0,10.0,0.89,Poor
2026-02-05 22:47:06,33.7,65.4,0.0,358.0,7.0,0.9,Poor
2026-02-05 22:47:12,33.6,65.4,0.0,359.0,9.0,0.89,Poor
2026-02-05 22:47:21,33.7,65.4,0.0,359.0,9.0,0.88,Poor
2026-02-05 22:47:27,33.7,65.3,0.0,358.0,8.0,0.88,Poor
2026-02-05 22:47:32,33.7,65.3,0.0,358.0,7.0,0.88,Poor
2026-02-05 22:47:38,33.6,65.3,0.0,356.0,5.0,0.88,Poor
2026-02-05 22:47:44,33.6,65.3,0.0,355.0,6.0,0.88,Poor
2026-02-05 22:47:50,33.6,65.4,0.0,355.0,5.0,0.89,Poor
2026-02-05 22:47:56,33.6,65.3,0.0,355.0,5.0,0.89,Poor
2026-02-05 22:48:02,33.6,65.3,0.0,355.0,7.0,0.88,Poor
2026-02-05 22:48:08,33.7,65.3,0.0,355.0,14.0,0.88,Poor
2026-02-05 22:48:13,33.6,65.2,0.0,356.0,5.0,0.89,Poor
2026-02-05 22:48:19,33.6,65.4,0.0,357.0,7.0,0.89,Poor
2026-02-05 22:48:25,33.7,65.2,0.0,355.0,5.0,0.88,Poor
2026-02-05 22:48:30,33.7,65.3,0.0,355.0,6.0,0.89,Poor
2026-02-05 22:48:36,33.7,65.1,0.0,355.0,5.0,0.88,Poor
2026-02-05 22:48:41,33.7,65.1,0.0,355.0,6.0,0.87,Poor
2026-02-05 22:48:47,33.6,65.2,0.0,363.0,13.0,0.87,Poor
2026-02-05 22:48:56,33.6,65.3,0.0,356.0,6.0,0.88,Poor
2026-02-05 22:49:02,33.6,65.4,0.0,355.0,5.0,0.87,Poor
2026-02-05 22:49:08,33.6,65.5,0.0,363.0,14.0,0.88,Poor
2026-02-05 22:49:14,33.6,65.4,0.0,355.0,5.0,0.88,Poor
2026-02-05 22:49:20,33.6,65.2,0.0,363.0,13.0,0.88,Poor
2026-02-05 22:49:26,33.6,65.3,0.0,355.0,6.0,0.88,Poor
2026-02-05 22:49:32,33.6,65.3,0.0,362.0,13.0,0.87,Poor
2026-02-05 22:49:38,33.6,65.4,0.0,363.0,12.0,0.88,Poor
2026-02-05 22:49:44,33.6,65.2,0.0,363.0,13.0,0.88,Poor
2026-02-05 22:49:50,33.6,65.3,0.0,355.0,14.0,0.89,Poor
2026-02-05 22:49:56,33.6,65.3,0.0,363.0,14.0,0.88,Poor
2026-02-05 22:50:04,33.6,65.3,0.0,362.0,12.0,0.89,Poor
2026-02-05 22:50:09,33.6,65.3,0.0,364.0,12.0,0.87,Poor
2026-02-05 22:50:15,33.5,65.3,0.0,362.0,13.0,0.89,Poor
2026-02-05 22:50:21,33.5,65.4,0.0,361.0,11.0,0.87,Poor
2026-02-05 22:50:26,33.5,65.5,0.0,361.0,12.0,0.88,Poor
2026-02-05 22:50:35,33.5,65.5,0.0,363.0,14.0,0.89,Poor
2026-02-05 22:50:41,33.5,65.4,0.0,360.0,7.0,0.87,Poor
2026-02-05 22:50:46,33.5,65.5,0.0,360.0,12.0,0.88,Poor
2026-02-05 22:50:52,33.5,65.6,0.0,364.0,5.0,0.89,Poor
2026-02-05 22:50:57,33.5,65.4,0.0,362.0,12.0,0.87,Poor
2026-02-05 22:51:03,33.5,65.5,0.0,363.0,14.0,0.88,Poor
2026-02-05 22:51:09,33.5,65.5,0.0,362.0,12.0,0.87,Poor
2026-02-05 22:51:15,33.5,65.5,0.0,360.0,11.0,0.89,Poor
2026-02-05 22:51:20,33.5,65.5,0.0,361.0,12.0,0.88,Poor
2026-02-05 22:51:26,33.5,65.5,0.0,364.0,12.0,0.89,Poor
2026-02-05 22:51:31,33.5,65.5,0.0,362.0,13.0,0.87,Poor
2026-02-05 22:51:36,33.5,65.4,0.0,362.0,13.0,0.89,Poor
2026-02-05 22:51:42,33.5,65.6,0.0,383.0,35.0,0.88,Poor
2026-02-05 22:51:48,33.5,65.6,0.0,361.0,11.0,0.85,Poor
2026-02-05 22:51:53,33.5,65.6,0.0,362.0,13.0,0.86,Poor
2026-02-05 22:51:59,33.5,65.5,0.0,361.0,12.0,0.86,Poor
2026-02-05 22:52:05,33.5,65.6,0.0,363.0,12.0,0.87,Poor
2026-02-05 22:52:10,33.5,65.6,0.0,363.0,14.0,0.87,Poor
2026-02-05 22:52:16,33.4,65.6,0.0,362.0,9.0,0.86,Poor
2026-02-05 22:52:21,33.4,65.6,0.0,360.0,10.0,0.86,Poor
2026-02-05 22:52:27,33.4,65.6,0.0,361.0,11.0,0.87,Poor
2026-02-05 22:52:32,33.4,65.7,0.0,362.0,12.0,0.88,Poor
2026-02-05 22:52:38,33.4,65.6,0.0,362.0,10.0,0.87,Poor
2026-02-05 22:52:44,33.4,65.6,0.0,363.0,5.0,0.88,Poor
2026-02-05 22:52:50,33.4,65.6,0.0,362.0,13.0,0.87,Poor
2026-02-05 22:52:56,33.4,65.6,0.0,364.0,14.0,0.88,Poor
2026-02-05 22:53:01,33.4,65.5,0.0,364.0,14.0,0.87,Poor
2026-02-05 22:53:07,33.4,65.6,0.0,362.0,12.0,0.88,Poor
2026-02-05 22:53:13,33.4,65.6,0.0,364.0,14.0,0.87,Poor
2026-02-05 22:53:18,33.5,65.6,0.0,363.0,11.0,0.88,Poor
2026-02-05 22:53:24,33.4,65.7,0.0,361.0,13.0,0.87,Poor
2026-02-05 22:53:29,33.4,65.7,0.0,364.0,13.0,0.87,Poor
2026-02-05 22:53:35,33.4,65.6,0.0,364.0,12.0,0.86,Poor
2026-02-05 22:53:40,33.5,65.6,0.0,361.0,12.0,0.88,Poor
2026-02-05 22:53:45,33.4,65.7,0.0,364.0,12.0,0.86,Poor
2026-02-05 22:53:51,33.4,65.6,0.0,361.0,11.0,0.87,Poor
2026-02-05 22:53:56,33.4,65.6,0.0,362.0,12.0,0.86,Poor
2026-02-05 22:54:02,33.4,65.6,0.0,364.0,14.0,0.86,Poor
2026-02-05 22:54:10,33.4,65.5,0.0,362.0,12.0,0.88,Poor
2026-02-05 22:54:16,33.4,65.6,0.0,364.0,14.0,0.88,Poor
2026-02-05 22:54:21,33.4,65.6,0.0,364.0,13.0,0.86,Poor
2026-02-05 22:54:27,33.4,65.6,0.0,359.0,9.0,0.86,Poor
2026-02-05 22:54:32,33.4,65.6,0.0,363.0,14.0,0.87,Poor
2026-02-05 22:54:37,33.4,65.6,0.0,356.0,5.0,0.89,Poor
2026-02-05 22:54:43,33.4,65.6,0.0,387.0,35.0,0.88,Poor
2026-02-05 22:54:48,33.4,65.6,0.0,381.0,30.0,0.87,Poor
2026-02-05 22:54:54,33.4,65.6,0.0,364.0,13.0,0.86,Poor
2026-02-05 22:54:59,33.4,65.7,0.0,361.0,9.0,0.85,Poor
2026-02-05 22:55:05,33.4,65.8,0.0,361.0,11.0,0.85,Poor
2026-02-05 22:55:10,33.4,65.8,0.0,362.0,11.0,0.86,Poor
2026-02-05 22:55:16,33.3,65.7,0.0,363.0,14.0,0.85,Poor
2026-02-05 22:55:21,33.4,65.9,0.0,362.0,11.0,0.87,Poor
2026-02-05 22:55:27,33.3,65.7,0.0,364.0,14.0,0.87,Poor
2026-02-05 22:55:32,33.4,65.7,0.0,364.0,14.0,0.86,Poor
